,DataType,NonNullCount,NullCount,NaN%,Empty%,UniqueValues
gardenOrientation_enc,float64,0,70210,100.0,0.0,0
hasAirConditioning,float64,906,69304,98.71,0.0,1
hasSwimmingPool,float64,985,69225,98.6,0.0,1
hasDressingRoom,float64,2128,68082,96.97,0.0,1
hasFireplace,float64,2387,67823,96.6,0.0,1
hasThermicPanels,float64,2778,67432,96.04,0.0,1
hasArmoredDoor,float64,2975,67235,95.76,0.0,1
diningRoomSurface,float64,6199,64011,91.17,0.0,82
hasHeatPump,float64,6839,63371,90.26,0.0,1
hasPhotovoltaicPanels,float64,7443,62767,89.4,0.0,1
hasOffice,float64,8458,61752,87.95,0.0,1
terraceOrientation_enc,float64,10075,60135,85.65,0.0,8
hasAttic,float64,11767,58443,83.24,0.0,1
hasDiningRoom,float64,12589,57621,82.07,0.0,1
hasVisiophone,float64,13896,56314,80.21,0.0,1
gardenSurface,float64,14477,55733,79.38,0.0,1544
hasGarden,float64,14477,55733,79.38,0.0,1
parkingCountOutdoor,float64,16073,54137,77.11,0.0,32
hasLift,float64,17183,53027,75.53,0.0,1
roomCount,float64,19938,50272,71.6,0.0,44
kitchenSurface,float64,22774,47436,67.56,0.0,109
parkingCountIndoor,float64,24630,45580,64.92,0.0,61
terraceSurface,float64,26441,43769,62.34,0.0,207
hasBasement,float64,26574,43636,62.15,0.0,1
livingRoomSurface,float64,27189,43021,61.27,0.0,175
floorCount,float64,34191,36019,51.3,0.0,37
landSurface,float64,35729,34481,49.11,0.0,3578
kitchenType_enc,float64,38546,31664,45.1,0.0,4
floodZoneType_enc,float64,38991,31219,44.47,0.0,9
hasLivingRoom,float64,39878,30332,43.2,0.0,1
hasTerrace,float64,43197,27013,38.47,0.0,1
heatingType_enc,float64,43614,26596,37.88,0.0,7
buildingConstructionYear,float64,44419,25791,36.73,0.0,214
facedeCount,float64,48648,21562,30.71,0.0,11
toiletCount,float64,51093,19117,27.23,0.0,21
buildingCondition_enc,float64,52914,17296,24.63,0.0,6
epcScore_enc,float64,59208,11002,15.67,0.0,9
bathroomCount,float64,61110,9100,12.96,0.0,19
habitableSurface,float64,62171,8039,11.45,0.0,781
bedroomCount,float64,67668,2542,3.62,0.0,29
heatingType,object,70210,0,0.0,0.0,8
buildingCondition,object,70210,0,0.0,0.0,7
type,object,70210,0,0.0,0.0,2
subtype,object,70210,0,0.0,0.0,24
province,object,70210,0,0.0,0.0,11
locality,object,70210,0,0.0,0.0,3742
postCode,int64,70210,0,0.0,0.0,1094
floodZoneType,object,70210,0,0.0,0.0,10
kitchenType,object,70210,0,0.0,0.0,9
gardenOrientation,object,70210,0,0.0,0.0,9
terraceOrientation,object,70210,0,0.0,0.0,9
price,float64,70210,0,0.0,0.0,5230
epcScore,object,70210,0,0.0,0.0,20
subtype_enc,float64,70210,0,0.0,0.0,24
type_enc,float64,70210,0,0.0,0.0,2
